BH0102,"Desenvolvimento e Sustentabilidade B-diurno 
(São Bernardo do Campo)","terca das 08:00 às 10:00, sala A2-S103-SB, 
semanal , quinta das 10:00 às 12:00, sala A2-S103
SB, semanal",0,LUIS ROBERTO DE PAULA
BH0102,"Desenvolvimento e Sustentabilidade B-Noturno 
(São Bernardo do Campo)","terca das 19:00 às 21:00, sala A2-S103-SB, 
semanal , quinta das 21:00 às 23:00, sala A2-S103
SB, semanal",0,VANESSA LUCENA EMPINOTTI
CS3401,"Desenvolvimento Humano e Pobreza Urbana A-
diurno (São Bernardo do Campo)","segunda das 14:00 às 16:00, sala A2-S309-SB, 
semanal , quarta das 14:00 às 16:00, sala A2-
S309-SB, semanal",0,LEONARDO FREIRE DE MELLO
EN2520,"Desenvolvimento Integrado do Produto A-
Noturno (São Bernardo do Campo)","sexta das 19:00 às 23:00, sala A2-S208-SB, 
semanal",0,FERNANDO GASI
BC1627,Didática A-diurno (São Bernardo do Campo),"sexta das 08:00 às 12:00, sala A1-S102-SB, 
semanal",0,ELIZABETE CRISTINA COSTA RENDERS
BC1627,Didática A-Noturno (São Bernardo do Campo),"quarta das 19:00 às 23:00, sala A1-S103-SB, 
semanal",0,ELIZABETE CRISTINA COSTA RENDERS
CS3303,"Dinâmica dos Investimentos Produtivos 
Internacionais A-diurno (São Bernardo do 
Campo)","segunda das 10:00 às 12:00, sala A2-S307-SB, 
semanal , sexta das 08:00 às 10:00, sala A2-S307-
SB, semanal",0,CRISTINA FROES DE BORJA REIS
CS3303,"Dinâmica dos Investimentos Produtivos 
Internacionais A-Noturno (São Bernardo do 
Campo)","segunda das 21:00 às 23:00, sala A2-S307-SB, 
semanal , sexta das 19:00 às 21:00, sala A2-S307-
SB, semanal",0,MARIA CARAMEZ CARLOTTO
EN3202,"Dinâmica Orbital A-diurno (São Bernardo do 
Campo)","quinta das 14:00 às 17:00, sala A2-S307-SB, 
semanal",0,LEONARDO DE OLIVE FERREIRA
BH1136,"Econometria III A1-Noturno (São Bernardo do 
Campo)","terca das 19:00 às 21:00, sala A1-S201-SB, 
semanal","quinta das 21:00 às 23:00, sala A1-L102-SB, 
semanal e sala A1-S204-SB","GUILHERME DE OLIVEIRA LIMA CAGLIARI 
MARQUES"
BH1136,"Econometria III A-diurno (São Bernardo do 
Campo)","terca das 08:00 às 10:00, sala A2-S203-SB, 
semanal","quinta das 10:00 às 12:00, sala A1-L101-SB, 
semanal e sala A2-S203-SB","GUILHERME DE OLIVEIRA LIMA CAGLIARI 
MARQUES"
BH1136,"Econometria III A-Noturno (São Bernardo do 
Campo)","terca das 19:00 às 21:00, sala A1-S201-SB, 
semanal","quinta das 21:00 às 23:00, sala A1-L101-SB, 
semanal e sala A1-S204-SB","GUILHERME DE OLIVEIRA LIMA CAGLIARI 
MARQUES"
BH1137,"Economia Brasileira Contemporânea III A-
diurno (São Bernardo do Campo)","sexta das 09:00 às 12:00, sala A2-S203-SB, 
semanal",0,Patrícia Cunha
BH1137,"Economia Brasileira Contemporânea III A-
Noturno (São Bernardo do Campo)","sexta das 19:00 às 22:00, sala A2-S106-SB, 
semanal",0,GIORGIO ROMANO SCHUTTE
BH1120,"Economia e Meio Ambiente A-diurno (São 
Bernardo do Campo)","segunda das 10:00 às 12:00, sala A1-S205-SB, 
quinzenal I, sexta das 10:00 às 12:00, sala A1-
S205-SB, semanal",0,MONICA YUKIE KUWAHARA
BH1120,"Economia e Meio Ambiente A-Noturno (São 
Bernardo do Campo)","segunda das 21:00 às 23:00, sala A1-S205-SB, 
quinzenal I, sexta das 21:00 às 23:00, sala A1-
S205-SB, semanal",0,MONICA YUKIE KUWAHARA
BH1115,"Economia Internacional II A-diurno (São 
Bernardo do Campo)","segunda das 10:00 às 12:00, sala A2-S203-SB, 
semanal , quinta das 08:00 às 10:00, sala A2-S203
SB, semanal",0,PARIS YEROS
BH1115,"Economia Internacional II A-Noturno (São 
Bernardo do Campo)","segunda das 21:00 às 23:00, sala A2-S201-SB, 
semanal , quinta das 19:00 às 21:00, sala A2-S201
SB, semanal",0,PARIS YEROS
EN2521,"Elaboração, Análise e Avaliação de Projetos A-
diurno (São Bernardo do Campo)","sexta das 08:00 às 12:00, sala A2-S202-SB, 
semanal",0,DOUGLAS ALVES CASSIANO
EN3535,"Empreendedorismo A-diurno (São Bernardo do 
Campo)","terca das 14:00 às 16:00, sala A2-S202-SB, 
semanal , quinta das 14:00 às 16:00, sala A2-S202
SB, semanal",0,ANNE CRISTINE CHINELLATO
BC0207,"Energia: Origens, Conversão e Uso A1-Noturno 
(São Bernardo do Campo)","segunda das 19:00 às 21:00, sala A2-S104-SB, 
semanal",0,REGINA KEIKO MURAKAMI
BC0207,"Energia: Origens, Conversão e Uso A2-Noturno 
(São Bernardo do Campo)","segunda das 19:00 às 21:00, sala A2-S103-SB, 
semanal",0,DENISE CRIADO PEREIRA DE SOUZA
BC0207,"Energia: Origens, Conversão e Uso A3-Noturno 
(São Bernardo do Campo)","segunda das 19:00 às 21:00, sala A2-S101-SB, 
semanal",0,SERGIO HENRIQUE FERREIRA DE OLIVEIRA
BC0207,"Energia: Origens, Conversão e Uso A-diurno 
(São Bernardo do Campo)","segunda das 10:00 às 12:00, sala A2-S104-SB, 
semanal",0,REGINA KEIKO MURAKAMI
BC0207,"Energia: Origens, Conversão e Uso B2-Noturno 
(São Bernardo do Campo)","segunda das 21:00 às 23:00, sala A2-S104-SB, 
semanal",0,DENISE CRIADO PEREIRA DE SOUZA
BC1713,"Engenharia Econômica A-diurno (São Bernardo 
do Campo)","segunda das 10:00 às 13:00, sala A2-S301-SB, 
semanal",0,EDER DE OLIVEIRA ABENSUR
EN3524,"Engenharia Humana A-Noturno (São Bernardo 
do Campo)","terca das 19:00 às 23:00, sala A2-S202-SB, 
semanal",0,ANNE CRISTINE CHINELLATO
EN1004,"Engenharia Unificada II A-Noturno (São 
Bernardo do Campo)",0,"quarta das 18:00 às 21:00, sala A1-L306-SB, 
semanal",0
BH1123,"Estado e Desenvolvimento Econômico no Brasil 
Contemporâneo A-diurno (São Bernardo do 
Campo)","terca das 10:00 às 12:00, sala A1-S205-SB, 
semanal , quinta das 08:00 às 10:00, sala A1-S205
SB, semanal",0,GIORGIO ROMANO SCHUTTE
BH1123,"Estado e Desenvolvimento Econômico no Brasil 
Contemporâneo A-Noturno (São Bernardo do 
Campo)","terca das 21:00 às 23:00, sala A2-S101-SB, 
semanal , quinta das 19:00 às 21:00, sala A2-S101
SB, semanal",0,GILBERTO MARINGONI DE OLIVEIRA
