EN2213,Aerodinâmica I A-diurno (Santo André),"terca das 10:00 às 12:00, sala S - 307-1, semanal , quinta das 08:00 às 10:00, sala S - 307-1, semanal",0,LEONARDO DE OLIVE FERREIRA,0
BC0005,"Bases Computacionais da Ciência A11-Noturno (Santo André)",0,"terca das 21:00 às 23:00, sala 409-2, semanal",0,DEBORA MARIA ROSSI DE MEDEIROS
BC0005,"Bases Computacionais da Ciência A1-diurno (Santo André)",0,"terca das 10:00 às 12:00, sala L502, semanal",0,CLAUDIO NOGUEIRA DE MENESES
BC0005,"Bases Computacionais da Ciência A1-Noturno (Santo André)",0,"terca das 21:00 às 23:00, sala L502, semanal",0,GUIOU KOBAYASHI
BC0005,"Bases Computacionais da Ciência A2-diurno (Santo André)",0,"terca das 10:00 às 12:00, sala L503, semanal",0,GUIOU KOBAYASHI
BC0005,"Bases Computacionais da Ciência A2-Noturno (Santo André)",0,"terca das 21:00 às 23:00, sala L503, semanal",0,RONALDO CRISTIANO PRATI
BC0005,"Bases Computacionais da Ciência A3-diurno (Santo André)",0,"terca das 10:00 às 12:00, sala L504, semanal",0,DANIEL MORGATO MARTIN
BC0005,"Bases Computacionais da Ciência A3-Noturno (Santo André)",0,"terca das 21:00 às 23:00, sala L504, semanal",0,DANIEL MORGATO MARTIN
BC0005,"Bases Computacionais da Ciência A4-diurno (Santo André)",0,"terca das 10:00 às 12:00, sala L505, semanal",0,MIRTHA LINA FERNANDEZ VENERO
BC0005,"Bases Computacionais da Ciência A4-Noturno (Santo André)",0,"terca das 21:00 às 23:00, sala L505, semanal",0,CRISTIANE MARIA SATO
BC0005,"Bases Computacionais da Ciência A5-diurno (Santo André)",0,"terca das 10:00 às 12:00, sala 408-2, semanal",0,ROGERIO PERINO DE OLIVEIRA NEVES
BC0005,"Bases Computacionais da Ciência A5-Noturno (Santo André)",0,"terca das 21:00 às 23:00, sala L603, semanal",0,MIRTHA LINA FERNANDEZ VENERO
BC0005,"Bases Computacionais da Ciência A6-diurno (Santo André)",0,"terca das 10:00 às 12:00, sala L703, semanal",0,KARLA VITTORI
BC0005,"Bases Computacionais da Ciência A6-Noturno (Santo André)",0,"terca das 21:00 às 23:00, sala L703, semanal",0,MARINA SPARVOLI DE MEDEIROS
BC0005,"Bases Computacionais da Ciência A7-diurno (Santo André)",0,"terca das 10:00 às 12:00, sala L506, semanal",0,CRISTIANE MARIA SATO
BC0005,"Bases Computacionais da Ciência A7-Noturno (Santo André)",0,"terca das 21:00 às 23:00, sala 401-1, semanal",0,KARLA VITTORI
BC0005,"Bases Computacionais da Ciência A8-diurno (Santo André)",0,"terca das 10:00 às 12:00, sala 402-2, semanal",0,MARGARETHE STEINBERGER ELIAS BORN
BC0005,"Bases Computacionais da Ciência A8-Noturno (Santo André)",0,"terca das 21:00 às 23:00, sala 402-2, semanal",0,MURILO BELLEZONI LOIOLA
BC0005,"Bases Computacionais da Ciência A9-diurno (Santo André)",0,"terca das 10:00 às 12:00, sala 404-2, semanal",0,LUIZ CARLOS DA SILVA ROZANTE BC0005,"Bases Computacionais da Ciência A9-Noturno (Santo André)",0,"terca das 21:00 às 23:00, sala 404-2, semanal",0,LUIZ CARLOS DA SILVA ROZANTE BC0005,"Bases Computacionais da Ciência B1-diurno (Santo André)",0,"terca das 08:00 às 10:00, sala L502, semanal",0,CLAUDIO NOGUEIRA DE MENESES
BC0005,"Bases Computacionais da Ciência B1-Noturno (Santo André)",0,"terca das 19:00 às 21:00, sala L502, semanal",0,GUIOU KOBAYASHI
BC0005,"Bases Computacionais da Ciência B2-diurno (Santo André)",0,"terca das 08:00 às 10:00, sala L503, semanal",0,DAVID CORREA MARTINS JUNIOR
BC0005,"Bases Computacionais da Ciência B2-Noturno (Santo André)",0,"terca das 19:00 às 21:00, sala L503, semanal",0,MARCIO KATSUMI OIKAWA
BC0005,"Bases Computacionais da Ciência B3-diurno (Santo André)",0,"terca das 08:00 às 10:00, sala L504, semanal",0,DANIEL MORGATO MARTIN
BC0005,"Bases Computacionais da Ciência B3-Noturno (Santo André)",0,"terca das 19:00 às 21:00, sala L504, semanal",0,DANIEL MORGATO MARTIN
BC0005,"Bases Computacionais da Ciência B4-diurno (Santo André)",0,"terca das 08:00 às 10:00, sala L505, semanal",0,LUIZ CARLOS DA SILVA ROZANTE BC0005,"Bases Computacionais da Ciência B4-Noturno (Santo André)",0,"terca das 19:00 às 21:00, sala L505, semanal",0,CRISTIANE MARIA SATO
BC0005,"Bases Computacionais da Ciência B5-diurno (Santo André)",0,"terca das 08:00 às 10:00, sala 408-2, semanal",0,ROGERIO PERINO DE OLIVEIRA NEVES
BC0005,"Bases Computacionais da Ciência B5-Noturno (Santo André)",0,"terca das 19:00 às 21:00, sala L603, semanal",0,MIRTHA LINA FERNANDEZ VENERO
BC0005,"Bases Computacionais da Ciência B6-diurno (Santo André)",0,"terca das 08:00 às 10:00, sala L703, semanal",0,KARLA VITTORI
BC0005,"Bases Computacionais da Ciência B6-Noturno (Santo André)",0,"terca das 19:00 às 21:00, sala L703, semanal",0,ROGERIO PERINO DE OLIVEIRA NEVES
BC0005,"Bases Computacionais da Ciência B7-diurno (Santo André)",0,"terca das 08:00 às 10:00, sala L506, semanal",0,ANDRE GUILHERME RIBEIRO BALAN
BC0005,"Bases Computacionais da Ciência B7-Noturno (Santo André)",0,"terca das 19:00 às 21:00, sala L506, semanal",0,LUIZ CARLOS DA SILVA ROZANTE BC0005,"Bases Computacionais da Ciência B8-diurno (Santo André)",0,"terca das 08:00 às 10:00, sala 402-2, semanal",0,MARGARETHE STEINBERGER ELIAS BORN
BC0005,"Bases Computacionais da Ciência B8-Noturno (Santo André)",0,"terca das 19:00 às 21:00, sala 402-2, semanal",0,DAVID CORREA MARTINS JUNIOR
BC0004,"Bases Epistemológicas da Ciência Moderna A-diurno (Santo André)","segunda das 10:00 às 12:00, sala S - 311-3, quinzenal I, quarta das 08:00 às 10:00, sala S - 311-3, semanal",0,ANASTASIA GUIDI ITOKAZU,0
BC0004,"Bases Epistemológicas da Ciência Moderna A-Noturno (Santo André)","segunda das 21:00 às 23:00, sala S - 311-3, quinzenal I, quarta das 19:00 às 21:00, sala S - 311-3, semanal",0,MARCIA HELENA ALVIM,0
BC0004,"Bases Epistemológicas da Ciência Moderna B-diurno (Santo André)","segunda das 08:00 às 10:00, sala S - 311-3, quinzenal I, quarta das 10:00 às 12:00, sala S - 311-3, semanal",0,ANASTASIA GUIDI ITOKAZU,0
BC0004,"Bases Epistemológicas da Ciência Moderna B-Noturno (Santo André)","segunda das 19:00 às 21:00, sala S - 311-3, quinzenal I, quarta das 21:00 às 23:00, sala S - 311-3, semanal",0,KATYA MARGARETH AURANI,0
BC0003,Bases Matemáticas A1-diurno (Santo André),"quarta das 08:00 às 10:00, sala S - 204-0, semanal , sexta das 10:00 às 12:00, sala S - 204-0, semanal",0,MARCIO FABIANO DA SILVA,0
BC0003,Bases Matemáticas A1-Noturno (Santo André),"quarta das 19:00 às 21:00, sala S - 204-0, semanal , sexta das 21:00 às 23:00, sala S - 204-0, semanal",0,ANA CAROLINA BOERO,0
BC0003,Bases Matemáticas A2-diurno (Santo André),"quarta das 08:00 às 10:00, sala S - 205-0, semanal , sexta das 10:00 às 12:00, sala S - 205-0, semanal",0,ANTONIO GIL VICENTE DE BRUM,0
BC0003,Bases Matemáticas A2-Noturno (Santo André),"quarta das 19:00 às 21:00, sala S - 205-0, semanal , sexta das 21:00 às 23:00, sala S - 205-0, semanal",0,"LUCAS DE ALMEIDA MIRANDA BARRETO",0
BC0003,Bases Matemáticas A3-diurno (Santo André),"quarta das 08:00 às 10:00, sala S - 206-0, semanal , sexta das 10:00 às 12:00, sala S - 206-0, semanal",0,ILMA APARECIDA MARQUES SILVA,0
BC0003,Bases Matemáticas A3-Noturno (Santo André),"quarta das 19:00 às 21:00, sala S - 206-0, semanal , sexta das 21:00 às 23:00, sala S - 206-0, semanal",0,ERCILIO CARVALHO DA SILVA,0
BC0003,Bases Matemáticas A4-diurno (Santo André),"quarta das 08:00 às 10:00, sala S - 207-0, semanal , sexta das 10:00 às 12:00, sala S - 207-0, semanal",0,CLAUDIO NOGUEIRA DE MENESES,0
BC0003,Bases Matemáticas A4-Noturno (Santo André),"quarta das 19:00 às 21:00, sala S - 207-0, semanal , sexta das 21:00 às 23:00, sala S - 207-0, semanal",0,JEFERSON CASSIANO,0
BC0003,Bases Matemáticas B1-diurno (Santo André),"quarta das 10:00 às 12:00, sala S - 208-0, semanal , sexta das 08:00 às 10:00, sala S - 208-0, semanal",0,MARCIO FABIANO DA SILVA,0
BC0003,Bases Matemáticas B1-Noturno (Santo André),"quarta das 21:00 às 23:00, sala S - 208-0, semanal , sexta das 19:00 às 21:00, sala S - 208-0, semanal",0,ANA CAROLINA BOERO,0
BC0003,Bases Matemáticas B2-diurno (Santo André),"quarta das 10:00 às 12:00, sala S - 213-0, semanal , sexta das 08:00 às 10:00, sala S - 213-0, semanal",0,ARMANDO CAPUTI,0
BC0003,Bases Matemáticas B2-Noturno (Santo André),"quarta das 21:00 às 23:00, sala S - 108-0, semanal , sexta das 19:00 às 21:00, sala S - 108-0, semanal",0,"LUCAS DE ALMEIDA MIRANDA BARRETO",0
BC0003,Bases Matemáticas B3-diurno (Santo André),"quarta das 10:00 às 12:00, sala S - 214-0, semanal , sexta das 08:00 às 10:00, sala S - 214-0, semanal",0,ILMA APARECIDA MARQUES SILVA,0
BC0003,Bases Matemáticas B3-Noturno (Santo André),"quarta das 21:00 às 23:00, sala S - 214-0, semanal , sexta das 19:00 às 21:00, sala S - 214-0, semanal",0,ERCILIO CARVALHO DA SILVA,0
BC0003,Bases Matemáticas B4-Noturno (Santo André),"quarta das 21:00 às 23:00, sala A - 106-0, semanal , sexta das 19:00 às 21:00, sala A - 106-0, semanal",0,JEFERSON CASSIANO,0
NH1703,Biologia Animal I A-diurno (Santo André),"quinta das 08:00 às 10:00, sala S - 306-3, semanal","quarta das 08:00 às 10:00, sala 402-3, quinzenal II, quinta das 10:00 às 12:00, sala 402-3, semanal",ALBERTO JOSE OLAVARRIETA ARAB,ALBERTO JOSE OLAVARRIETA ARAB
NH1703,Biologia Animal I A-Noturno (Santo André),"quinta das 19:00 às 21:00, sala S - 306-3, semanal","quarta das 19:00 às 21:00, sala 402-3, quinzenal II, quinta das 21:00 às 23:00, sala 402-3, semanal",OTTO MULLER PATRAO DE OLIVEIRA,OTTO MULLER PATRAO DE OLIVEIRA
BC1320,"Biologia Molecular e Biotecnologia A-diurno (Santo André)","terca das 09:00 às 12:00, sala S - 305-2, semanal",0,MARCELLA PECORA MILAZZOTTO,0
BC1320,"Biologia Molecular e Biotecnologia A-Noturno (Santo André)","terca das 19:00 às 22:00, sala S - 305-2, semanal",0,LUIZ ROBERTO NUNES,0
NH1702,Biologia Vegetal I A-diurno (Santo André),"terca das 08:00 às 10:00, sala S - 306-3, semanal , quartadas 08:00 às 10:00, sala S - 306-3, quinzenal I","terca das 10:00 às 12:00, sala 402-3, semanal",ANDREA ONOFRE DE ARAUJO,ANDREA ONOFRE DE ARAUJO
NH1702,Biologia Vegetal I A-Noturno (Santo André),"terca das 19:00 às 21:00, sala S - 306-3, semanal , quartadas 19:00 às 21:00, sala S - 306-3, quinzenal I","terca das 21:00 às 23:00, sala 402-3, semanal",NATALIA PIRANI GHILARDI LOPES,NATALIA PIRANI GHILARDI LOPES
EN2324,Biossegurança A-Noturno (Santo André),"terca das 21:00 às 23:00, sala S - 008-0, semanal , quinta das 19:00 às 21:00, sala S - 008-0, semanal",0,ANDREA CECILIA DORION RODAS,0
BC1716,Cálculo de Probabilidade A-diurno (Santo André),"segunda das 08:00 às 10:00, sala S - 302-2, semanal , quarta das 10:00 às 12:00, sala S - 302-2, semanal",0,RAFAEL DE MATTOS GRISI,0
BC1716,Cálculo de Probabilidade A-Noturno (Santo André),"segunda das 19:00 às 21:00, sala S - 307-2, semanal , quarta das 21:00 às 23:00, sala S - 307-2, semanal",0,RAFAEL DE MATTOS GRISI,0
BC1499,Cálculo Numérico A-diurno (Santo André),"segunda das 08:00 às 10:00, sala A - 207-0, semanal , quarta das 10:00 às 12:00, sala A - 207-0, semanal",0,OLEXANDR ZHYDENKO,OLEXANDR ZHYDENKO
BC1499,Cálculo Numérico A-Noturno (Santo André),"segunda das 19:00 às 21:00, sala A - 104-0, semanal , quarta das 21:00 às 23:00, sala A - 104-0, semanal",0,RODRIGO DE ALENCAR HAUSEN,RODRIGO DE ALENCAR HAUSEN
BC1499,Cálculo Numérico B-diurno (Santo André),"segunda das 10:00 às 12:00, sala A - 101-0, semanal , quarta das 08:00 às 10:00, sala A - 101-0, semanal",0,OLEXANDR ZHYDENKO,OLEXANDR ZHYDENKO
BC1499,Cálculo Numérico B-Noturno (Santo André),"segunda das 21:00 às 23:00, sala A - 101-0, semanal , quarta das 19:00 às 21:00, sala A - 101-0, semanal",0,RODRIGO DE ALENCAR HAUSEN,RODRIGO DE ALENCAR HAUSEN
BC0603,"Ciência, Tecnologia e Sociedade A-diurno (Santo André)","segunda das 10:00 às 12:00, sala A - 108-0, quinzenal I, quarta das 08:00 às 10:00, sala A - 108-0, semanal",0,DEMETRIO GASPARI CIRNE DE TOLEDO,0
BC0603,"Ciência, Tecnologia e Sociedade A-Noturno (Santo André)","segunda das 21:00 às 23:00, sala A - 108-0, quinzenal I, quarta das 19:00 às 21:00, sala A - 108-0, semanal",0,LUCIANA PEREIRA,0
BC0603,"Ciência, Tecnologia e Sociedade B1-Noturno (Santo André)","segunda das 19:00 às 21:00, sala A - 107-0, quinzenal I, quarta das 21:00 às 23:00, sala A - 107-0, semanal",0,LUCIANA PEREIRA,0
BC0603,"Ciência, Tecnologia e Sociedade B2-Noturno (Santo André)","segunda das 19:00 às 21:00, sala A - 103-0, quinzenal I, quarta das 21:00 às 23:00, sala A - 103-0, semanal",0,OLYMPIO BARBANTI JUNIOR,0
BC0603,"Ciência, Tecnologia e Sociedade B-diurno (Santo André)","segunda das 08:00 às 10:00, sala A - 107-0, quinzenal I, quarta das 10:00 às 12:00, sala A - 107-0, semanal",0,"CAROLINA MOUTINHO DUQUE DE PINHO",0
EN2321,"Ciências dos Materiais Biocompatíveis A-diurno (Santo André)","terca das 10:00 às 12:00, sala S - 303-1, semanal , quinta das 08:00 às 10:00, sala S - 303-1, quinzenal II","quinta das 08:00 às 10:00, sala 501-1, quinzenal I",SONIA MARIA MALMONGE,SONIA MARIA MALMONGE EN2321,"Ciências dos Materiais Biocompatíveis A-Noturno (Santo André)","terca das 19:00 às 21:00, sala S - 303-1, semanal , quinta das 21:00 às 23:00, sala S - 303-1, quinzenal II","quinta das 21:00 às 23:00, sala 501-1, quinzenal I",CHRISTIANE RIBEIRO,CHRISTIANE RIBEIRO
BC1519,"Circuitos Elétricos e Fotônica A1-diurno (Santo André)","terca das 08:00 às 10:00, sala S - 302-2, quinzenal II, quinta das 10:00 às 12:00, sala S - 302-2, semanal","terca das 08:00 às 10:00, sala 403-1, quinzenal I",KATIA FRANKLIN ALBERTIN TORRES,KATIA FRANKLIN ALBERTIN TORRES
BC1519,"Circuitos Elétricos e Fotônica A1-Noturno (Santo André)","terca das 19:00 às 21:00, sala S - 311-3, quinzenal II, quinta das 21:00 às 23:00, sala S - 311-3, semanal","terca das 19:00 às 21:00, sala 403-1, quinzenal I",JORGE DIEGO MARCONI,JORGE DIEGO MARCONI
